t,cost_push_shock_transitory,cost_push_shock_persistent,output_gap_discretion_transitory,output_gap_discretion_persistent,inflation_discretion_transitory,inflation_discretion_persistent,price_level_discretion_transitory,price_level_discretion_persistent
0,1,1,-3.39943342776204,-6.16649537512847,0.56657223796034,1.02774922918808,0.56657223796034,1.02774922918808
1,0,0.8,-0,-4.93319630010278,0,0.822199383350462,0.56657223796034,1.84994861253854
2,0,0.64,-0,-3.94655704008222,0,0.65775950668037,0.56657223796034,2.50770811921891
3,0,0.512,-0,-3.15724563206578,0,0.526207605344296,0.56657223796034,3.03391572456321
4,0,0.4096,-0,-2.52579650565262,0,0.420966084275437,0.56657223796034,3.45488180883864
5,0,0.32768,-0,-2.0206372045221,0,0.33677286742035,0.56657223796034,3.79165467625899
6,0,0.262144,-0,-1.61650976361768,0,0.26941829393628,0.56657223796034,4.06107297019527
7,0,0.2097152,-0,-1.29320781089414,0,0.215534635149024,0.56657223796034,4.2766076053443
8,0,0.16777216,-0,-1.03456624871531,0,0.172427708119219,0.56657223796034,4.44903531346352
9,0,0.134217728,-0,-0.827652998972251,0,0.137942166495375,0.56657223796034,4.58697747995889
10,0,0.1073741824,-0,-0.662122399177801,0,0.1103537331963,0.56657223796034,4.69733121315519
11,0,0.0858993459200001,-0,-0.529697919342241,0,0.0882829865570401,0.56657223796034,4.78561419971223
12,0,0.068719476736,-0,-0.423758335473793,0,0.0706263892456321,0.56657223796034,4.85624058895786
